marital_status,is_displaced,gender,age,is_international,mothers_qualif,fathers_qualif,is_spec_needs,is_debtor,is_tuition_uptodate,is_scholarship,unempl_rate,infl_rate,gdp,application_order,course,is_daytime,prev_qualif,prev_qualif_grade,admission_grade,courses_credited,courses_enrolled,courses_evaluated,courses_approved,courses_avg_grade,courses_unevaluated,Target
single,1,1,20,0,3,3,0,0,1,0,10.8,1.4,1.74,5,Animation and Multimedia Design,1,4,122,127.3,0,0,0,0,0,0,Dropout
single,1,1,19,0,4,5,0,0,0,0,13.9,-0.3,0.79,1,Tourism,1,4,160,142.5,0,6,6,6,14,0,Graduate
single,1,1,19,0,1,1,0,0,0,0,10.8,1.4,1.74,5,Communication Design,1,4,122,124.8,0,6,0,0,0,0,Dropout
single,1,0,20,0,2,1,0,0,1,0,9.4,-0.8,-3.12,2,Journalism and Communication,1,4,122,119.6,0,6,8,6,13.428571428571429,0,Graduate
married,0,0,45,0,1,2,0,0,1,0,13.9,-0.3,0.79,1,Social Service (evening attendance),0,4,100,141.5,0,6,9,5,12.333333333333334,0,Graduate
married,0,1,50,0,1,1,0,1,1,0,16.2,0.3,-0.92,1,Management (evening attendance),0,3,133.1,114.8,0,5,10,5,11.857142857142858,0,Graduate
single,1,0,18,0,3,2,0,0,1,1,15.5,2.8,-4.06,1,Nursing,1,4,142,128.4,0,7,9,7,13.3,0,Graduate
single,1,1,22,0,1,1,0,0,0,0,15.5,2.8,-4.06,4,Tourism,1,4,119,113.1,0,5,5,0,0,0,Dropout
single,0,0,21,1,4,4,0,0,1,1,16.2,0.3,-0.92,3,Social Service,1,4,137,129.3,0,6,8,6,13.875,0,Graduate
single,1,0,18,0,4,3,0,1,0,0,8.9,1.4,3.51,1,Social Service,1,4,138,123,0,6,9,5,11.4,0,Dropout
single,1,0,18,0,2,3,0,0,1,0,13.9,-0.3,0.79,1,Advertising and Marketing Management,1,4,139,130.6,0,6,6,6,12.333333333333334,0,Graduate
single,1,0,18,0,3,2,0,0,1,1,12.7,3.7,-1.7,1,Nursing,1,4,136,119.3,0,8,8,7,13.214285714285714,0,Graduate
single,1,0,19,0,3,1,0,0,1,0,12.7,3.7,-1.7,2,Basic Education,1,4,133,130.2,0,6,6,0,0,0,Dropout
single,1,0,21,0,4,4,0,0,1,1,8.9,1.4,3.51,1,Tourism,1,4,110,111.8,0,6,7,6,10.571428571428571,0,Graduate
single,1,0,18,0,2,1,0,0,1,1,10.8,1.4,1.74,1,Veterinary Nursing,1,4,149,137.1,0,5,7,4,13.25,0,Graduate
single,1,0,20,0,3,1,0,0,1,0,15.5,2.8,-4.06,1,Journalism and Communication,1,4,127,120.7,0,6,6,5,13.2,0,Dropout
single,1,0,18,0,3,4,0,0,1,0,15.5,2.8,-4.06,2,Nursing,1,4,135,127.3,0,7,8,7,13.30625,0,Graduate
single,1,0,20,0,5,3,0,0,1,0,10.8,1.4,1.74,1,Equinculture,1,4,137,136.3,0,5,8,4,12.5,1,Graduate
single,0,0,21,0,4,4,0,0,1,1,11.1,0.6,2.02,3,Animation and Multimedia Design,1,4,122,120.3,0,0,0,0,0,0,Graduate
single,1,0,18,0,3,3,0,0,1,0,12.7,3.7,-1.7,4,Nursing,1,4,142,125.5,0,8,12,7,12.857142857142858,0,Graduate
single,1,0,19,0,4,2,0,0,1,1,11.1,0.6,2.02,4,Advertising and Marketing Management,1,4,125,114.9,0,6,8,6,13.375,0,Graduate
single,0,0,19,0,3,3,0,0,1,0,11.1,0.6,2.02,1,Nursing,1,4,126,123.9,0,7,8,6,13.296666666666669,0,Graduate
single,1,0,21,0,3,2,0,0,1,0,16.2,0.3,-0.92,2,Social Service,1,4,115,116.4,0,6,9,6,11.375,0,Graduate
single,1,0,20,0,3,4,0,0,1,0,16.2,0.3,-0.92,1,Management,1,4,135,122.1,0,5,6,5,12,0,Graduate
single,1,1,20,0,4,5,0,0,1,0,8.9,1.4,3.51,1,Communication Design,1,4,125,130,2,6,7,6,12.833333333333334,0,Graduate
single,1,0,19,0,3,4,0,0,1,0,12.4,0.5,1.79,1,Social Service (evening attendance),0,4,138,134.5,0,6,6,6,12.666666666666666,0,Graduate
single,0,1,34,0,5,1,0,0,1,0,13.9,-0.3,0.79,1,Management (evening attendance),0,4,130,131.4,0,5,6,5,12.4,0,Graduate
single,0,1,37,0,2,1,0,1,0,0,8.9,1.4,3.51,1,Biofuel Production Technologies,1,4,130,102.5,0,7,7,0,0,0,Dropout
single,1,1,43,0,-1,1,0,0,1,0,7.6,2.6,0.32,1,Informatics Engineering,1,3,133.1,128.8,0,5,0,0,0,0,Dropout
single,0,0,55,0,1,1,0,0,1,0,16.2,0.3,-0.92,1,Management,1,4,140,122.9,0,5,10,1,10,0,Dropout
divorced,1,0,39,0,3,3,0,0,1,0,7.6,2.6,0.32,1,Management (evening attendance),0,4,120,113.9,0,5,8,5,11,0,Graduate
single,0,0,20,1,6,6,0,1,0,0,12.4,0.5,1.79,1,Equinculture,1,4,120,120,2,6,13,3,11.666666666666666,0,Dropout
single,0,0,18,0,5,5,0,1,1,0,12.7,3.7,-1.7,5,Journalism and Communication,1,4,126,121.1,0,6,6,4,12.75,0,Dropout
single,1,0,22,0,5,3,0,0,1,0,8.9,1.4,3.51,2,Management,1,4,133,120.4,0,5,5,5,14.8,0,Graduate
single,1,0,22,0,4,5,1,0,1,0,11.1,0.6,2.02,6,Nursing,1,4,103,100.6,0,7,9,5,13.928,0,Graduate
single,0,0,20,0,4,2,0,0,0,0,12.4,0.5,1.79,1,Journalism and Communication,1,4,120,121.4,0,6,7,4,13,0,Dropout
single,0,0,29,0,1,1,0,0,1,0,16.2,0.3,-0.92,1,Management (evening attendance),0,4,133.1,109.7,0,5,0,0,0,0,Dropout
single,1,0,18,0,3,3,0,0,1,0,11.1,0.6,2.02,2,Social Service,1,4,130,127.6,0,6,6,6,11.666666666666666,0,Graduate
single,1,0,22,0,1,3,0,0,1,1,11.1,0.6,2.02,6,Nursing,1,4,132,132.4,0,7,8,6,13.516666666666666,0,Graduate
single,0,0,21,0,4,3,0,0,1,1,12.4,0.5,1.79,1,Social Service (evening attendance),0,4,130,133.4,3,6,6,6,11.5,0,Graduate
single,0,0,19,0,1,2,0,0,1,1,12.7,3.7,-1.7,1,Social Service,1,4,139,126.1,0,6,7,5,12.333333333333334,0,Graduate
single,0,0,24,0,3,2,0,0,1,1,12.4,0.5,1.79,1,Tourism,1,4,130,113.5,0,6,6,6,13.666666666666666,0,Graduate
single,0,0,19,0,1,1,0,0,1,0,7.6,2.6,0.32,3,Equinculture,1,4,167,159.3,0,5,7,5,14.714285714285714,0,Graduate
single,0,0,27,0,2,2,0,0,1,0,9.4,-0.8,-3.12,1,Management (evening attendance),0,4,130,120,0,5,12,5,10.6,0,Dropout
single,1,0,18,0,4,3,0,0,1,0,15.5,2.8,-4.06,1,Nursing,1,4,130,129.1,0,7,9,7,13.044444444444444,0,Graduate
married,0,0,39,0,4,5,0,0,1,0,12.4,0.5,1.79,1,Tourism,1,5,130,130,0,6,10,0,0,0,Dropout
single,1,0,27,0,5,5,0,0,1,0,12.4,0.5,1.79,1,Equinculture,1,5,129,155.3,0,6,9,5,13,0,Dropout
single,1,0,18,0,2,2,0,0,1,0,9.4,-0.8,-3.12,1,Nursing,1,4,141,139.8,0,8,8,8,14.935,0,Graduate
single,0,0,18,0,3,3,0,0,1,0,16.2,0.3,-0.92,2,Nursing,1,4,125,114.9,0,7,8,6,13.133333333333333,0,Graduate
single,0,0,21,0,3,4,0,0,1,1,13.9,-0.3,0.79,1,Social Service,1,4,130,131.9,3,6,7,6,12,0,Graduate
divorced,1,1,29,0,4,4,0,0,1,0,13.9,-0.3,0.79,1,Nursing,1,3,133.1,126,2,7,10,5,11.9,0,Dropout
single,1,1,19,0,3,3,0,0,1,1,10.8,1.4,1.74,3,Animation and Multimedia Design,1,4,139,128.2,0,0,0,0,0,0,Graduate
single,1,1,23,0,3,1,0,0,1,0,8.9,1.4,3.51,1,Agronomy,1,4,130,130,0,6,8,6,12.571428571428571,0,Graduate
single,0,1,19,0,4,2,0,1,1,0,16.2,0.3,-0.92,3,Management,1,4,125,120.1,0,5,8,5,11.2,0,Dropout
single,0,1,24,0,1,3,0,0,1,0,13.9,-0.3,0.79,1,Nursing,1,4,150,130.8,0,7,8,7,11.975,0,Graduate
single,1,1,19,0,3,3,0,0,1,0,15.5,2.8,-4.06,1,Animation and Multimedia Design,1,4,141,135.8,0,0,0,0,0,0,Dropout
single,1,1,18,0,2,1,0,0,1,0,12.4,0.5,1.79,4,Tourism,1,4,118,111.7,0,6,12,3,11.666666666666666,0,Dropout
single,1,1,18,0,2,2,0,0,1,0,10.8,1.4,1.74,2,Journalism and Communication,1,4,142,132.9,0,6,8,6,12.333333333333334,0,Graduate
single,1,1,18,0,3,3,0,1,1,0,10.8,1.4,1.74,3,Management,1,4,120,115.5,0,5,8,3,10.333333333333334,0,Dropout
single,1,1,21,0,3,1,0,0,1,1,9.4,-0.8,-3.12,4,Tourism,1,4,106,106,0,6,8,4,10.5,0,Dropout
single,1,1,19,0,4,3,0,1,1,1,8.9,1.4,3.51,4,Journalism and Communication,1,4,121,120.3,0,6,6,6,13.666666666666666,0,Graduate
single,0,1,22,0,2,1,0,0,1,1,16.2,0.3,-0.92,4,Nursing,1,4,150,130.8,0,7,7,7,14.842857142857142,0,Graduate
married,0,1,33,0,1,1,0,0,1,0,10.8,1.4,1.74,1,Social Service (evening attendance),0,4,120,117,0,6,8,6,12,0,Graduate
single,1,1,20,0,3,3,0,0,1,0,10.8,1.4,1.74,6,Basic Education,1,4,114,110.2,0,6,8,5,12.2,0,Dropout
single,1,1,35,0,5,5,0,0,1,0,10.8,1.4,1.74,1,Management (evening attendance),0,5,140,155.7,0,1,1,0,0,1,Dropout
single,0,1,24,0,5,5,0,1,1,0,12.4,0.5,1.79,1,Agronomy,1,6,160,180.4,6,12,17,6,12.166666666666666,0,Dropout
married,1,0,33,0,1,1,0,0,1,0,9.4,-0.8,-3.12,1,Social Service (evening attendance),0,4,130,110,0,6,7,6,11,0,Graduate
single,1,0,22,0,1,2,0,0,1,1,10.8,1.4,1.74,1,Nursing,1,4,160,161,0,8,8,7,13.08,0,Graduate
single,0,0,25,0,4,3,0,0,1,1,9.4,-0.8,-3.12,1,Advertising and Marketing Management,1,4,120,100,0,5,7,4,10.5,0,Graduate
single,1,1,20,0,3,2,0,0,1,0,7.6,2.6,0.32,1,Communication Design,1,4,124,117.6,0,6,9,6,10.666666666666666,1,Graduate
single,0,1,24,0,4,4,0,0,1,0,13.9,-0.3,0.79,1,Nursing,1,4,133.1,100.8,0,7,18,0,0,0,Dropout
single,1,0,21,1,3,4,0,0,0,0,8.9,1.4,3.51,2,Journalism and Communication,1,4,133.1,105,0,6,6,6,14,0,Graduate
single,0,0,26,1,4,4,0,0,1,0,8.9,1.4,3.51,1,Equinculture,1,4,133.1,100,0,6,7,2,12,1,Dropout
married,0,0,39,0,1,-1,0,0,1,0,7.6,2.6,0.32,1,Basic Education,1,3,133.1,115.5,0,6,12,3,12.666666666666666,0,Dropout
